Order Date,Region,Category,Sales,Profit
2015-02-24,East,Furniture,27159.88,3267.01
2015-02-24,West,Office Supplies,38375.08,3240.8
2015-02-25,Central,Office Supplies,39063.84,5587.3
2015-02-26,East,Office Supplies,7766.45,1519.51
2015-02-27,Central,Technology,35001.17,4962.14
2015-02-28,East,Furniture,6437.04,837.23
2015-03-01,West,Technology,22341.67,4131.95
2015-03-02,Central,Furniture,17648.43,3461.15
2015-03-02,South,Furniture,7468.53,469.58
2015-03-04,East,Technology,30325.03,6407.2
2015-03-04,West,Office Supplies,37476.92,9969.95
2015-03-06,East,Technology,35187.55,9342.46
2015-03-08,East,Office Supplies,24740.42,5400.3
2015-03-08,South,Furniture,41220.5,7597.74
2015-03-09,Central,Technology,32651.54,8560.32
2015-03-09,South,Technology,32551.63,5629.59
2015-03-10,West,Technology,41732.61,7225.29
2015-03-13,West,Office Supplies,22074.1,5504.03
2015-03-14,South,Furniture,40048.76,7790.43
2015-03-14,West,Office Supplies,20653.5,5386.96
2015-03-16,East,Furniture,11708.97,2649.28
2015-03-16,West,Office Supplies,28956.04,4957.79
2015-03-16,West,Office Supplies,29063.57,7950.94
2015-03-17,Central,Office Supplies,49464.69,7050.74
2015-03-18,West,Furniture,6467.94,1461.14
2015-03-19,South,Furniture,12098.1,2334.45
2015-03-20,Central,Furniture,21986.23,5260.38
2015-03-21,West,Office Supplies,7168.43,2140.23
2015-03-23,South,Furniture,48450.23,14250.51
2015-03-23,Central,Furniture,47249.68,10824.43
2015-03-24,Central,Furniture,35640.3,3448.51
2015-03-24,Central,Furniture,29271.2,1763.62
2015-03-25,South,Technology,18140.93,2468.85
2015-03-27,Central,Office Supplies,22155.73,4488.54
2015-03-28,South,Office Supplies,12545.52,3052.7
2015-03-29,West,Office Supplies,44956.82,4758.99
2015-03-31,West,Office Supplies,2084.89,254.53
2015-03-31,West,Technology,9343.81,2146.31
2015-03-31,East,Technology,633.71,145.32
2015-04-01,East,Office Supplies,5252.34,830.5
2015-04-02,Central,Technology,19344.43,1113.84
2015-04-03,East,Furniture,32651.86,6747.07
2015-04-05,West,Technology,4340.98,609.11
2015-04-05,East,Office Supplies,3171.5,918.08
2015-04-06,West,Technology,22887.59,3591.1
2015-04-08,West,Office Supplies,19294.14,5725.65
2015-04-08,South,Furniture,14591.38,3172.39
2015-04-09,East,Furniture,27699.73,1571.86
2015-04-12,Central,Office Supplies,15486.0,2429.86
2015-04-12,West,Furniture,20298.13,3039.43
2015-04-14,East,Office Supplies,47727.65,9360.84
2015-04-15,East,Office Supplies,19394.64,5418.58
2015-04-15,East,Technology,11807.6,3121.77
2015-04-16,Central,Office Supplies,3275.97,961.09
2015-04-16,Central,Furniture,32854.96,5207.34
2015-04-17,West,Furniture,47110.93,5360.23
2015-04-18,Central,Technology,23791.63,2048.6
2015-04-21,East,Office Supplies,20041.98,4592.78
2015-04-21,East,Technology,13210.09,2836.98
2015-04-23,South,Furniture,20015.2,4057.67
2015-04-23,East,Technology,43532.97,9204.67
2015-04-25,Central,Technology,34034.61,4985.06
2015-04-26,Central,Office Supplies,18232.96,5066.98
2015-04-26,West,Furniture,46590.99,4826.13
2015-04-27,South,Office Supplies,31093.16,2532.84
2015-04-27,South,Technology,16253.62,3526.2
2015-04-27,South,Technology,37344.67,9618.91
2015-04-28,East,Office Supplies,43686.55,4419.91
2015-04-28,East,Office Supplies,12834.14,2088.1
2015-04-29,East,Technology,23829.57,4609.65
2015-04-29,Central,Office Supplies,36451.18,1937.56
2015-04-30,West,Technology,39333.03,11077.48
2015-05-03,Central,Furniture,45750.74,9893.96
2015-05-04,Central,Office Supplies,26171.44,3979.59
2015-05-04,East,Technology,41155.81,8590.39
2015-05-04,West,Technology,5968.95,1625.65
2015-05-06,West,Furniture,17257.49,3399.67
2015-05-06,South,Technology,4844.59,1319.44
2015-05-06,Central,Technology,36425.67,2171.27
2015-05-06,West,Technology,17267.69,1802.81
2015-05-07,East,Office Supplies,32315.93,7803.96
2015-05-08,West,Technology,18210.35,3469.73
2015-05-08,East,Technology,40750.6,6208.08
2015-05-08,East,Office Supplies,40784.38,7314.49
2015-05-09,East,Furniture,39290.1,3425.01
2015-05-10,West,Furniture,38587.11,6581.15
2015-05-10,South,Furniture,30865.55,6473.11
2015-05-10,Central,Technology,46997.08,5365.03
2015-05-10,Central,Furniture,20221.18,4536.56
2015-05-11,East,Office Supplies,25818.31,3709.27
2015-05-11,Central,Office Supplies,12676.63,2636.39
2015-05-11,West,Furniture,5611.31,1137.66
2015-05-12,West,Furniture,34500.86,3701.81
2015-05-12,West,Office Supplies,43863.63,3250.95
2015-05-14,Central,Office Supplies,6860.95,665.3
2015-05-14,West,Technology,7859.29,1162.45
2015-05-17,South,Office Supplies,17510.54,3911.25
2015-05-17,South,Furniture,7599.32,844.22
2015-05-18,South,Office Supplies,40251.28,4479.49
2015-05-18,East,Office Supplies,43998.13,4480.25
2015-05-19,South,Furniture,39031.82,5795.85
2015-05-19,Central,Office Supplies,32365.55,9091.43
2015-05-21,Central,Furniture,23890.27,3196.48
2015-05-21,Central,Office Supplies,23424.34,2940.79
2015-05-22,Central,Office Supplies,10072.24,1745.05
2015-05-22,South,Technology,14564.73,2419.84
2015-05-23,East,Office Supplies,21331.75,1785.71
2015-05-24,West,Technology,7319.27,1991.41
2015-05-26,Central,Technology,14897.76,2254.24
2015-05-26,South,Technology,20208.67,3315.98
2015-05-27,Central,Technology,21078.85,3927.53
2015-05-27,East,Office Supplies,10187.53,1992.17
2015-05-28,West,Technology,32475.23,7402.65
2015-05-28,South,Office Supplies,31884.5,2340.24
2015-05-29,East,Technology,37105.42,4982.06
2015-05-29,West,Office Supplies,2724.3,269.35
2015-05-29,East,Office Supplies,35746.7,2806.89
2015-06-03,South,Technology,23244.42,5534.27
2015-06-03,East,Office Supplies,26505.26,4830.73
2015-06-03,East,Technology,29779.72,6284.64
2015-06-04,East,Office Supplies,42954.19,7815.99
2015-06-05,East,Technology,35135.46,2980.42
2015-06-08,West,Furniture,3000.75,229.59
2015-06-08,West,Furniture,48703.19,7328.24
2015-06-09,East,Furniture,16598.45,1013.52
2015-06-09,West,Furniture,34628.96,7076.88
2015-06-09,West,Office Supplies,28733.62,4054.57
2015-06-10,Central,Technology,38106.21,5684.98
2015-06-10,South,Technology,35501.26,4976.12
2015-06-11,East,Technology,3626.45,914.94
2015-06-11,South,Technology,27896.34,6499.44
2015-06-11,West,Furniture,20600.78,3581.71
2015-06-11,Central,Technology,12671.95,3239.76
2015-06-12,East,Furniture,9968.31,1203.13
2015-06-12,South,Furniture,3139.84,386.92
2015-06-13,South,Technology,14437.93,1545.98
2015-06-13,Central,Furniture,26105.7,4425.04
2015-06-14,Central,Furniture,21029.27,3873.16
2015-06-14,South,Furniture,35160.63,3598.53
2015-06-14,Central,Office Supplies,2128.92,115.0
2015-06-15,West,Technology,40246.83,2581.86
2015-06-15,Central,Office Supplies,36714.59,3336.03
2015-06-17,East,Furniture,19773.72,2367.73
2015-06-19,East,Furniture,20147.14,3401.36
2015-06-20,East,Technology,18049.94,1274.18
2015-06-21,South,Office Supplies,47474.38,8937.01
2015-06-22,Central,Technology,3435.79,695.63
2015-06-22,East,Furniture,4689.05,411.48
2015-06-23,West,Office Supplies,30845.44,4928.36
2015-06-26,West,Office Supplies,41968.99,10942.79
2015-06-28,East,Office Supplies,36083.77,9990.43
2015-06-30,East,Technology,21771.98,4092.59
2015-07-01,West,Office Supplies,25363.94,3124.77
2015-07-02,South,Furniture,34290.92,7310.17
2015-07-02,East,Technology,47568.17,9149.11
2015-07-02,East,Office Supplies,25958.89,3691.36
2015-07-02,West,Technology,10883.05,597.49
2015-07-02,East,Office Supplies,17324.84,3660.33
2015-07-05,Central,Furniture,37597.62,9372.0
2015-07-06,Central,Office Supplies,11743.91,1077.72
2015-07-06,South,Office Supplies,47140.57,5574.65
2015-07-07,South,Furniture,19901.83,4110.8
2015-07-07,West,Technology,40311.91,8474.29
2015-07-07,East,Office Supplies,25732.25,4083.03
2015-07-09,Central,Office Supplies,6384.12,1526.78
2015-07-09,Central,Furniture,3445.87,331.18
2015-07-09,West,Technology,15647.05,2172.27
2015-07-09,Central,Technology,46366.69,8135.66
2015-07-09,East,Office Supplies,9394.81,2520.4
2015-07-10,South,Office Supplies,21901.62,4569.61
2015-07-10,Central,Furniture,5648.62,937.95
2015-07-13,Central,Furniture,41488.95,9686.22
2015-07-13,Central,Furniture,19310.36,4095.13
2015-07-13,East,Furniture,6358.09,1215.04
2015-07-14,South,Technology,36826.57,10724.45
2015-07-17,South,Furniture,40869.84,3903.76
2015-07-17,Central,Technology,37500.9,3961.83
2015-07-17,East,Furniture,12205.45,2809.77
2015-07-17,Central,Technology,20266.64,1103.51
2015-07-17,South,Furniture,2856.95,451.88
2015-07-17,East,Technology,16264.24,2165.43
2015-07-20,South,Furniture,25770.5,4766.97
2015-07-20,Central,Office Supplies,2023.37,424.08
2015-07-21,South,Office Supplies,19054.11,2167.94
2015-07-21,West,Furniture,45718.79,6179.77
2015-07-21,Central,Furniture,38462.98,10843.04
2015-07-22,Central,Technology,46694.64,3962.49
2015-07-22,Central,Office Supplies,44434.34,7813.53
2015-07-24,Central,Office Supplies,33101.81,6184.19
2015-07-24,South,Office Supplies,25809.25,7424.6
2015-07-26,Central,Furniture,2334.07,266.51
2015-07-27,West,Technology,45685.52,5307.85
2015-07-27,Central,Technology,35770.83,5427.65
2015-07-29,East,Furniture,29842.23,5812.73
2015-08-01,East,Office Supplies,4853.67,825.83
2015-08-02,East,Furniture,40117.85,3389.19
2015-08-04,Central,Office Supplies,10727.3,2696.53
2015-08-04,Central,Technology,3952.97,812.62
2015-08-04,East,Technology,28363.54,2298.72
2015-08-05,Central,Office Supplies,28303.23,7243.72
2015-08-05,South,Furniture,35149.5,10436.9
2015-08-05,East,Technology,31871.5,7662.52
2015-08-11,South,Technology,23192.08,2354.12
2015-08-12,East,Technology,8205.92,702.56
2015-08-13,West,Technology,42005.8,11474.7
2015-08-13,West,Office Supplies,24947.62,6216.64
2015-08-14,South,Office Supplies,46411.43,13130.13
2015-08-14,West,Office Supplies,13941.47,4041.94
2015-08-15,East,Technology,3619.33,433.28
2015-08-15,East,Office Supplies,39718.35,9532.76
2015-08-15,South,Office Supplies,39131.76,11526.73
2015-08-17,Central,Office Supplies,14097.03,1476.9
2015-08-20,West,Technology,13425.78,1711.46
2015-08-21,East,Office Supplies,14332.04,1791.42
2015-08-21,South,Office Supplies,13932.27,3985.57
2015-08-23,East,Furniture,26729.37,4791.23
2015-08-23,Central,Office Supplies,35350.03,6492.15
2015-08-23,South,Furniture,9836.72,590.89
2015-08-23,West,Furniture,8240.49,1703.58
2015-08-24,West,Technology,11402.07,2241.14
2015-08-24,West,Technology,8088.16,1734.55
2015-08-25,East,Furniture,37307.68,5536.42
2015-08-25,Central,Office Supplies,30384.47,4229.3
2015-08-26,East,Technology,38520.28,9749.05
2015-08-30,Central,Technology,3480.91,560.7
2015-08-30,East,Office Supplies,14252.06,950.13
2015-08-30,Central,Office Supplies,37846.34,8940.5
2015-08-30,West,Office Supplies,8999.19,1022.35
2015-08-31,East,Technology,38361.86,10605.09
2015-09-01,South,Technology,40679.82,7342.72
2015-09-02,South,Technology,3713.72,844.9
2015-09-02,East,Technology,8773.05,1220.28
2015-09-03,East,Technology,36063.14,4780.28
2015-09-04,West,Office Supplies,46816.57,3107.23
2015-09-06,West,Office Supplies,28350.73,3724.34
2015-09-07,South,Office Supplies,21931.89,6344.26
2015-09-07,South,Technology,3890.89,238.9
2015-09-08,South,Furniture,37336.46,5842.9
2015-09-08,South,Furniture,37485.12,4718.82
2015-09-11,East,Furniture,38870.47,6277.94
2015-09-11,South,Office Supplies,37533.19,8466.69
2015-09-13,East,Technology,41214.63,5959.18
2015-09-13,Central,Technology,5370.08,1369.46
2015-09-14,East,Furniture,18923.25,2455.92
2015-09-16,South,Technology,34817.08,2537.23
2015-09-18,East,Technology,47920.11,7655.87
2015-09-18,West,Technology,13450.43,1342.83
2015-09-19,South,Office Supplies,42380.29,12185.47
2015-09-19,East,Technology,17087.94,2717.87
2015-09-20,East,Furniture,21333.42,4535.08
2015-09-20,East,Furniture,14238.56,2882.85
2015-09-22,East,Furniture,23386.91,6087.58
2015-09-22,South,Technology,18717.06,4708.49
2015-09-22,West,Office Supplies,4058.53,827.06
2015-09-23,East,Technology,47092.28,14026.61
2015-09-23,Central,Furniture,30291.64,4163.65
2015-09-24,West,Technology,13140.6,3400.11
2015-09-25,West,Technology,11620.7,3286.62
2015-09-25,East,Furniture,7868.41,2173.61
2015-09-26,Central,Furniture,2052.4,217.77
2015-09-26,West,Office Supplies,20337.05,3840.98
2015-09-27,West,Office Supplies,21176.26,4638.15
2015-09-27,West,Office Supplies,1693.54,414.18
2015-09-27,Central,Technology,45702.64,6910.14
2015-09-29,South,Technology,16840.53,3749.61
2015-10-01,West,Office Supplies,28014.1,4073.33
2015-10-03,South,Technology,3712.51,573.99
2015-10-04,West,Office Supplies,24224.17,6744.06
2015-10-05,South,Furniture,11156.0,2818.08
2015-10-05,South,Furniture,24857.87,7141.57
2015-10-08,West,Office Supplies,23766.0,2417.91
2015-10-08,East,Furniture,29156.37,8151.41
2015-10-09,South,Technology,21960.48,6186.36
2015-10-10,Central,Furniture,2750.5,479.52
2015-10-10,West,Furniture,31433.35,4208.25
2015-10-10,East,Technology,37705.01,6688.89
2015-10-12,East,Technology,48853.3,13240.29
2015-10-12,Central,Technology,43895.87,8052.44
2015-10-12,Central,Furniture,33613.21,5191.5
2015-10-13,South,Technology,24135.66,5112.26
2015-10-13,South,Technology,28532.43,5162.59
2015-10-13,East,Technology,45391.37,10585.11
2015-10-16,West,Furniture,1277.97,223.95
2015-10-20,West,Furniture,39887.48,4069.32
2015-10-21,West,Office Supplies,860.0,74.74
2015-10-22,West,Technology,38750.84,4412.78
2015-10-22,Central,Office Supplies,16652.85,4787.29
2015-10-27,West,Technology,15878.09,1150.36
2015-10-28,Central,Office Supplies,4061.34,780.58
2015-10-29,East,Technology,44574.74,9189.48
2015-10-29,West,Technology,7344.13,1160.56
2015-10-30,East,Office Supplies,7065.87,2088.66
2015-10-30,South,Furniture,21657.43,3816.53
2015-10-31,West,Office Supplies,15132.16,1599.07
2015-11-01,Central,Office Supplies,38394.64,7215.4
2015-11-03,East,Technology,44591.91,10604.45
2015-11-03,Central,Technology,23052.73,2978.44
2015-11-03,West,Technology,45849.39,9649.33
2015-11-04,West,Furniture,34442.3,8897.61
2015-11-07,South,Office Supplies,12589.39,2097.12
2015-11-07,Central,Technology,40299.13,4781.21
2015-11-07,West,Technology,39937.08,5568.0
2015-11-08,East,Office Supplies,27466.94,2846.96
2015-11-09,Central,Office Supplies,9786.74,601.48
2015-11-10,Central,Technology,45542.78,10788.27
2015-11-13,Central,Technology,16526.56,2218.39
2015-11-14,East,Furniture,1526.7,242.68
2015-11-14,West,Technology,30200.72,3030.97
2015-11-14,East,Furniture,40492.63,3088.77
2015-11-14,West,Furniture,15784.89,1245.47
2015-11-16,Central,Office Supplies,28198.95,3652.3
2015-11-17,East,Office Supplies,48237.27,3300.53
2015-11-20,Central,Technology,17321.44,1307.9
2015-11-23,Central,Office Supplies,31448.24,6778.77
2015-11-24,Central,Office Supplies,49297.44,9402.64
2015-11-25,East,Furniture,22629.55,2581.2
2015-11-26,Central,Furniture,40980.89,6523.2
2015-11-26,South,Technology,31733.04,9280.01
2015-11-27,West,Furniture,678.84,38.7
2015-11-27,South,Office Supplies,21465.26,5077.56
2015-11-28,East,Furniture,8541.78,849.07
2015-11-30,Central,Office Supplies,37265.17,5538.9
2015-12-01,Central,Office Supplies,41226.13,6908.78
2015-12-02,Central,Office Supplies,6456.85,841.03
2015-12-02,East,Office Supplies,35490.21,5088.84
2015-12-02,West,Furniture,33874.46,6587.5
2015-12-03,Central,Technology,11286.27,2358.69
2015-12-04,Central,Furniture,29852.93,4094.26
2015-12-04,East,Furniture,34845.35,5182.08
2015-12-04,East,Office Supplies,32066.29,9114.34
2015-12-04,West,Office Supplies,22969.67,2328.11
2015-12-05,Central,Furniture,47542.0,2970.23
2015-12-06,Central,Furniture,6764.83,1867.62
2015-12-07,West,Furniture,42605.6,7391.21
2015-12-07,Central,Technology,41945.85,3094.52
2015-12-07,East,Furniture,36348.39,10479.13
2015-12-08,Central,Technology,22022.68,5188.44
2015-12-08,South,Technology,16533.31,4136.74
2015-12-08,East,Technology,32443.32,4340.78
2015-12-08,Central,Technology,48092.64,13848.37
2015-12-09,South,Office Supplies,14004.72,1221.85
2015-12-10,South,Furniture,35246.7,4097.53
2015-12-11,East,Office Supplies,24931.85,2365.65
2015-12-12,Central,Office Supplies,29179.3,6170.22
2015-12-14,West,Technology,22875.41,3569.43
2015-12-15,South,Office Supplies,48965.62,8942.42
2015-12-16,South,Office Supplies,10022.47,1399.75
2015-12-19,South,Technology,26330.25,2867.95
2015-12-19,East,Office Supplies,27244.57,2511.28
2015-12-20,West,Furniture,6495.84,429.52
2015-12-22,West,Office Supplies,46269.37,13716.6
2015-12-22,South,Technology,15329.84,800.65
2015-12-22,South,Furniture,40749.33,9507.44
2015-12-23,South,Office Supplies,39911.2,2457.33
2015-12-23,East,Office Supplies,38809.29,8165.18
2015-12-24,West,Technology,4353.04,369.36
2015-12-24,West,Office Supplies,41753.64,6605.22
2015-12-25,South,Office Supplies,27388.94,5462.62
2015-12-26,West,Furniture,6343.7,959.32
2015-12-26,Central,Office Supplies,39388.08,9029.87
2015-12-26,South,Technology,17980.32,1053.39
2015-12-26,Central,Furniture,41516.0,6307.02
2015-12-28,West,Furniture,11766.72,764.15
2015-12-28,East,Technology,36334.17,3392.36
2015-12-29,Central,Office Supplies,13877.32,3873.04
2015-12-29,Central,Furniture,47560.28,12656.12
2015-12-29,South,Technology,16587.1,2858.79
2015-12-30,Central,Office Supplies,23357.63,2243.39
2015-12-30,West,Technology,6527.44,1187.06
2015-12-31,Central,Office Supplies,6123.32,361.07
2015-12-31,West,Office Supplies,48544.7,8174.37
2015-12-31,South,Office Supplies,13779.97,1056.42
2015-12-31,South,Office Supplies,18140.1,2605.6
2016-01-01,West,Office Supplies,30988.63,1740.9
2016-01-05,South,Furniture,8928.32,1585.28
2016-01-05,Central,Furniture,47943.29,5796.38
2016-01-06,West,Furniture,44055.32,10354.58
2016-01-08,West,Office Supplies,8429.72,1221.45
2016-01-08,West,Technology,40138.78,5165.42
2016-01-09,Central,Furniture,18195.41,4101.08
2016-01-10,South,Technology,48316.69,3441.6
2016-01-10,South,Office Supplies,31316.66,6863.58
2016-01-10,West,Technology,6769.59,1707.6
2016-01-11,West,Office Supplies,23941.69,3279.72
2016-01-11,West,Office Supplies,2634.83,694.41
2016-01-13,East,Furniture,801.12,192.91
2016-01-13,East,Technology,22740.14,3414.97
2016-01-14,Central,Technology,22675.78,1902.16
2016-01-15,South,Furniture,2065.19,213.48
2016-01-16,East,Furniture,3528.0,496.35
2016-01-18,South,Office Supplies,18099.0,1674.83
2016-01-19,East,Furniture,31027.84,5364.03
2016-01-20,South,Office Supplies,22819.91,5445.57
2016-01-21,Central,Furniture,41752.87,4182.22
2016-01-21,South,Furniture,48939.63,8422.9
2016-01-22,East,Technology,30892.76,5511.2
2016-01-22,South,Office Supplies,14343.24,3062.7
2016-01-24,West,Technology,41418.77,10251.72
2016-01-24,Central,Office Supplies,45780.22,4728.69
2016-01-25,East,Technology,47948.01,12501.92
2016-01-25,Central,Furniture,47580.05,11798.36
2016-01-26,East,Technology,7634.72,2097.14
2016-01-27,East,Office Supplies,25757.23,2899.01
2016-01-28,East,Technology,36772.06,5966.32
2016-01-28,West,Technology,17414.63,3916.93
2016-01-28,South,Office Supplies,24777.1,6775.22
2016-01-28,South,Office Supplies,43877.07,6190.28
2016-01-30,West,Technology,20552.56,2843.44
2016-01-31,South,Technology,12868.87,1859.18
2016-01-31,East,Furniture,29716.44,1764.96
2016-01-31,East,Office Supplies,5411.83,1559.61
2016-02-01,West,Office Supplies,41289.45,3297.8
2016-02-01,South,Furniture,30307.35,1664.55
2016-02-01,Central,Office Supplies,1975.09,487.83
2016-02-02,South,Office Supplies,18859.07,4185.21
2016-02-02,East,Office Supplies,27134.34,6159.25
2016-02-02,Central,Technology,30789.25,5775.31
2016-02-02,West,Office Supplies,18781.39,3043.89
2016-02-03,Central,Furniture,18388.44,1292.2
2016-02-03,West,Office Supplies,18430.3,2106.65
2016-02-03,Central,Furniture,15336.61,3645.63
2016-02-03,South,Office Supplies,41352.43,9276.53
2016-02-03,West,Furniture,35519.37,3729.51
2016-02-04,Central,Furniture,28069.33,5012.07
2016-02-04,West,Office Supplies,22828.92,4139.23
2016-02-05,East,Technology,27547.84,6790.55
2016-02-05,East,Office Supplies,49504.04,13211.55
2016-02-05,Central,Office Supplies,34150.64,3427.21
2016-02-06,South,Office Supplies,13840.78,1492.26
2016-02-08,West,Office Supplies,45839.55,7276.91
2016-02-08,West,Office Supplies,38786.96,8874.38
2016-02-08,West,Technology,2181.58,465.17
2016-02-09,East,Technology,41431.73,3872.75
2016-02-10,South,Furniture,42568.64,8224.01
2016-02-10,South,Technology,17658.7,3616.13
2016-02-10,Central,Office Supplies,26514.71,5471.29
2016-02-10,Central,Furniture,32811.61,3396.7
2016-02-11,West,Technology,1154.95,113.19
2016-02-12,East,Office Supplies,23359.42,6417.29
2016-02-14,East,Technology,20872.01,3063.65
2016-02-17,East,Office Supplies,49835.29,5572.85
2016-02-18,South,Furniture,32317.74,7278.84
2016-02-22,South,Office Supplies,11371.14,648.08
2016-02-22,West,Furniture,13642.21,3941.47
2016-02-23,Central,Furniture,14443.13,1213.04
2016-02-24,West,Furniture,1406.81,268.62
2016-02-24,South,Office Supplies,41664.12,9953.68
2016-02-24,East,Furniture,7165.63,834.58
2016-02-26,East,Furniture,38519.66,8590.61
2016-02-28,South,Technology,1471.8,196.99
2016-02-29,West,Office Supplies,32703.96,5321.4
2016-02-29,East,Furniture,29575.03,2180.37
2016-03-01,Central,Office Supplies,43986.6,8651.64
2016-03-03,West,Technology,42986.32,8231.82
2016-03-03,West,Office Supplies,17967.45,1514.09
2016-03-04,West,Furniture,24272.57,1684.45
2016-03-06,Central,Office Supplies,11771.62,1815.74
2016-03-07,East,Furniture,37155.69,6797.83
2016-03-07,East,Technology,17121.44,1505.33
2016-03-09,South,Technology,49136.93,14675.51
2016-03-10,Central,Furniture,43029.86,7768.08
2016-03-10,Central,Office Supplies,31424.28,3452.8
2016-03-11,South,Office Supplies,26574.02,3829.92
2016-03-12,East,Furniture,27322.56,6960.17
2016-03-13,East,Office Supplies,23023.26,6097.2
2016-03-16,West,Furniture,35415.14,2376.77
2016-03-16,West,Technology,28214.36,7604.59
2016-03-17,West,Office Supplies,47798.13,8130.43
2016-03-17,Central,Office Supplies,11629.51,2274.04
2016-03-18,West,Office Supplies,35724.58,9394.95
2016-03-20,East,Technology,7193.78,730.3
2016-03-20,South,Technology,43919.35,9592.35
2016-03-22,Central,Furniture,23810.58,5234.25
2016-03-22,West,Technology,5628.39,549.26
2016-03-23,East,Technology,47505.31,10519.18
2016-03-24,West,Furniture,35531.28,2064.09
2016-03-24,South,Technology,35794.33,3072.5
2016-03-25,Central,Office Supplies,43464.21,6537.79
2016-03-27,South,Furniture,44595.92,5385.81
2016-03-28,Central,Furniture,20953.57,2211.69
2016-03-28,West,Office Supplies,30132.54,8679.96
2016-03-28,South,Office Supplies,16062.06,2237.27
2016-03-29,West,Technology,13186.51,1333.52
2016-03-30,Central,Furniture,21426.56,3669.89
2016-03-30,West,Technology,16530.62,3159.76
2016-03-31,South,Office Supplies,32583.26,6364.27
2016-03-31,South,Office Supplies,26466.99,6124.98
2016-03-31,South,Furniture,39768.99,6796.29
2016-03-31,East,Furniture,903.24,170.93
